,lang,f1,recall,precision
69,luo_Latn,0.998019801980198,0.9960474308300395,1.0
12,pbt_Arab,0.998019801980198,0.9960474308300395,1.0
46,jav_Latn,0.998019801980198,0.9960474308300395,1.0
40,kor_Hang,0.9980276134122288,1.0,0.9960629921259843
1,cat_Latn,0.9980276134122288,1.0,0.9960629921259843
56,yor_Latn,0.9985155863433943,0.9970355731225297,1.0
75,hin_Deva,0.9985170538803757,0.9980237154150198,0.9990108803165183
101,tgl_Latn,0.9985185185185185,0.9990118577075099,0.998025666337611
36,slv_Latn,0.9985199802664035,1.0,0.9970443349753695
82,tur_Latn,0.9985199802664035,1.0,0.9970443349753695
7,mri_Latn,0.9990108803165183,0.9980237154150198,1.0
78,khm_Khmr,0.9990108803165183,0.9980237154150198,1.0
93,afr_Latn,0.9990118577075099,0.9990118577075099,0.9990118577075099
99,swe_Latn,0.9990118577075099,0.9990118577075099,0.9990118577075099
54,gle_Latn,0.9990128331688055,1.0,0.9980276134122288
86,ces_Latn,0.9990128331688055,1.0,0.9980276134122288
60,mar_Deva,0.9990128331688055,1.0,0.9980276134122288
94,kaz_Cyrl,0.9995056846267919,0.9990118577075099,1.0
37,ceb_Latn,0.9995056846267919,0.9990118577075099,1.0
81,ltz_Latn,0.9995056846267919,0.9990118577075099,1.0
63,oci_Latn,0.9995056846267919,0.9990118577075099,1.0
38,bul_Cyrl,0.9995056846267919,0.9990118577075099,1.0
97,lao_Laoo,0.9995056846267919,0.9990118577075099,1.0
5,mlt_Latn,0.9995061728395062,1.0,0.9990128331688055
92,slk_Latn,0.9995061728395062,1.0,0.9990128331688055
64,amh_Ethi,0.9995061728395062,1.0,0.9990128331688055
57,rus_Cyrl,0.9995061728395062,1.0,0.9990128331688055
43,lit_Latn,0.9995061728395062,1.0,0.9990128331688055
98,gaz_Latn,0.9995061728395062,1.0,0.9990128331688055
62,urd_Arab,0.9995061728395062,1.0,0.9990128331688055
83,tel_Telu,1.0,1.0,1.0
84,est_Latn,1.0,1.0,1.0
39,fin_Latn,1.0,1.0,1.0
9,snd_Arab,1.0,1.0,1.0
89,tha_Thai,1.0,1.0,1.0
8,uzn_Latn,1.0,1.0,1.0
4,pan_Guru,1.0,1.0,1.0
2,mya_Mymr,1.0,1.0,1.0
85,cym_Latn,1.0,1.0,1.0
80,ben_Beng,1.0,1.0,1.0
71,ukr_Cyrl,1.0,1.0,1.0
77,isl_Latn,1.0,1.0,1.0
41,lvs_Latn,1.0,1.0,1.0
35,kir_Cyrl,1.0,1.0,1.0
47,ell_Grek,1.0,1.0,1.0
48,srp_Cyrl,1.0,1.0,1.0
49,ckb_Arab,1.0,1.0,1.0
32,asm_Beng,1.0,1.0,1.0
51,ory_Orya,1.0,1.0,1.0
31,kan_Knda,1.0,1.0,1.0
53,bel_Cyrl,1.0,1.0,1.0
55,ibo_Latn,1.0,1.0,1.0
58,guj_Gujr,1.0,1.0,1.0
59,tgk_Cyrl,1.0,1.0,1.0
61,mkd_Cyrl,1.0,1.0,1.0
65,npi_Deva,1.0,1.0,1.0
66,heb_Hebr,1.0,1.0,1.0
25,azj_Latn,1.0,1.0,1.0
24,kat_Geor,1.0,1.0,1.0
70,tam_Taml,1.0,1.0,1.0
22,mal_Mlym,1.0,1.0,1.0
20,som_Latn,1.0,1.0,1.0
14,ron_Latn,1.0,1.0,1.0
79,hye_Armn,1.0,1.0,1.0
52,khk_Cyrl,1.0,1.0,1.0
