,sentence,language,lang_id,fasttext,audio
13,'n paar weke gelede nadat die informasie deur die joernalis makis triantafylopoulos in sy gewilde televisieprogram zoungla op alfa tv gepubliseer is is 'n lid van die parlement en prokureur petros mantouvalos uit sy posisie onthef aangesien lede van sy kabinet betrokke was in onwettige knoeiery en korrupsie,Afrikaans,0,afr_Latn,afr
14,die tweeling otter het pogings aangewend om gister by kokoda te land soos lugredery png vlug cg4684 gedoen het maar het alreeds eenmaal die aftog geblaas,Afrikaans,0,afr_Latn,afr
15,dit was op die duitse alfabet gebasseer en een karakter õ/õ was bygevoeg,Afrikaans,0,afr_Latn,afr
16,indien om slegs 'n foto van iets te neem nie toegelaat word nie dan moes jy nie eers daaroor dink om 'n video te neem nie,Afrikaans,0,afr_Latn,afr
17,hierdie teorie is in teenstelling met die bewerings dat die maan geheel en al sonder geologiese aktiwiteit is,Afrikaans,0,afr_Latn,afr
18,nadat dit duidelik geword het dat baie families regshulp gesoek het om die uitsettings teen te staan was 'n vergadering gehou op 20 maart by die east bay community law center vir die slagoffers van die behuisingsverneukspul,Afrikaans,0,afr_Latn,afr
19,die suid pool deurpad of hoofweg is 'n 1600 km pad van mcmurdo stasie aan die ross see na die pool,Afrikaans,0,afr_Latn,afr
20,hy het selfs voorgestel dat sulke vermoëns om menslike gedrag te interpreter gedeel word deur diere soos huishoudelike honde,Afrikaans,0,afr_Latn,afr
21,die ontlaskleppe se opening het 'n druk-ontlading vir die sisteem toegelaat en olie het oor 'n kussing na 'n tenk wat 55 000 vate kan hou gevloei 2.3 miljoen gellings,Afrikaans,0,afr_Latn,afr
22,die uitsaai dienste akte voorsien vir die regulering van internet inhoud maar om as internet inhoud beskou te word moet dit fisies op 'n bediener wees,Afrikaans,0,afr_Latn,afr
23,ek was geraak elke keer wat ons 'n repitisie hiervan gedoen het uit die diepte van my hart,Afrikaans,0,afr_Latn,afr
24,xinhua berig dat die staat se ondersoekspan op woensdag twee black box'-vlugopnemers verhaal het,Afrikaans,0,afr_Latn,afr
25,na amptenare die verkieser se identiteit bevestig het laat val die verkieser die koevert in die stembus en onderteken hy die kieserslys,Afrikaans,0,afr_Latn,afr
26,christopher garcia 'n woordvoerder van die los angeles polisie afdeling het gesê dat die vermoede manlike oortreder ondersoek word vir oortreding eerder as vandalisme,Afrikaans,0,afr_Latn,afr
27,dit was op die duitse alfabet gebasseer en een karakter õ/õ was bygevoeg,Afrikaans,0,afr_Latn,afr
28,phnom krom is 12 km suidwes van siem reap hierdie heuweltempel is gebou teen die einde van die 9e eeu tydens die regering van koning yasovarman,Afrikaans,0,afr_Latn,afr
29,om die slagoffer na te gaan moet jy eers 'n opname van die toneel neem om jou veiligheid te verseker,Afrikaans,0,afr_Latn,afr
30,ons het nou 4-maand oue muise wat nie diabeties is wat eenmaal diabeties was het hy bygevoeg,Afrikaans,0,afr_Latn,afr
31,meeste sterftes gebeur as 'n gevolg van moegheid wanneer een terug probeer swem teen die stroom wat onmoontlik mag wees,Afrikaans,0,afr_Latn,afr
32,maar die verbruikersmark rakend skootrekenaars sal radikaal verskil en verander wees na asus die 2007 taiwan onderhoubare toekenning ontvang het van die uitvoerende hoof yuan van die republiek van china,Afrikaans,0,afr_Latn,afr
33,hulle het hulleself die moriori genoem daar was 'n paar skermutselinge en die moriori is uitgewis aan die einde,Afrikaans,0,afr_Latn,afr
34,in 1957 het luxembourg die stigterslid van die organisasie geword wat ons vandag ken as die europese unie,Afrikaans,0,afr_Latn,afr
35,die woordvoerder vir medecines sans frontiere richard veerman het gesê angola is op pad na sy ergste uitbraak ooit en die situasie in angola bly baie erg,Afrikaans,0,afr_Latn,afr
36,byna alle rekenaars wat vandag in gebruik is is gebaseerd op die manipulasie van informasie wat gekodeer is in die vorm van binêre nommers,Afrikaans,0,afr_Latn,afr
37,speler van die dag is alex ovechkin van die washington-hoofstede,Afrikaans,0,afr_Latn,afr
38,met dieselfde tydsone as hawaii word die eilande soms aan gedink as hawaii down under,Afrikaans,0,afr_Latn,afr
39,daar is 'n aantal restaurante wat die tuin omring en in die middae en aande word daar verniet konserte aangebied vanaf die sentrale gazebo,Afrikaans,0,afr_Latn,afr
40,die teorie het die idee bevestig dat die maori mense migreer het van polenisië in 'n groot vloot en het new zeeland gevat van die moriori en daardeur 'n landbou gemeenskap gestig het,Afrikaans,0,afr_Latn,afr
41,verseker dat jy weet wat jy kan en nie kan bring nie en verklaar enigiets wat oor die wettige limiete is,Afrikaans,0,afr_Latn,afr
42,die plaaslike kraanwater is heel veilig om te drink maar gebottelde water is maklik om te vind as jy bang is,Afrikaans,0,afr_Latn,afr
43,die name van die beskuldigdes is baba kanjar bhutha kanjar rampro kanjar gaza kanjar en vishnu kanjar,Afrikaans,0,afr_Latn,afr
44,drink alkoholiese drankies met matigheid alkohol affekteer almal verskillend en dit is belangrik om jou perke te ken,Afrikaans,0,afr_Latn,afr
45,ander ski gebeure sal by die taizicheng ski omgewing in die zhangjiakou wees ongeveer 220 km 140 myl vanaf beijing,Afrikaans,0,afr_Latn,afr
46,die buitenste deel wat ons sien wanneer ons kyk na die son word die fotosfeer genoem wat bal van lig beteken,Afrikaans,0,afr_Latn,afr
47,protesoptogte het ook plaasgevind in parys sofia van bulgarye vilnius in lithuania valetta in malta tallinn in estonia en edinburgh en glasgow in skotland,Afrikaans,0,afr_Latn,afr
48,dit beteken dat alles teruggesit moet word het die navorser by die rift vallei navorsingsdiens in ethiopië en mede-outeur van die studie berhane asfaw gesê,Afrikaans,0,afr_Latn,afr
49,"nuwe bewyse suggereer egter dat die moriori ‘n groep van die hoofland maori was wat migreer het van new zeeland na die chatham eilande waar hul hul eie kenmerkende,vredeliewende kultuur ontwikkel het",Afrikaans,0,afr_Latn,afr
50,meeste insekte het die voordeel dat hulle in staat is om hul vlerke terug op die lyf kan vou,Afrikaans,0,afr_Latn,afr
51,in kontras is dierekosse miere termiete eiers nie net maklik verteerbaar nie maar hulle bied hoë kwaliteit proteïne wat al die noodsaaklike aminosure bevat,Afrikaans,0,afr_Latn,afr
52,die sanger sanju sharma het die aand begin gevolg deur jai shankar choudhary.esented the chhappan bhog bhajan ook. sanger raju khandelwal het hom vergesel,Afrikaans,0,afr_Latn,afr
53,wees gewaarsku klein-dorpie kroeë is nie altyd goeie plekke vir die besoekers uit ander state om hul vrye tyd te spandeer nie,Afrikaans,0,afr_Latn,afr
54,die vertalings enjins het drasties verbeter en gee nou meestal min of meer die korrekte vertalings en minder selde brabbertaal maar nasorg is nodig aangesien hulle dit soms nog steeds heeltemal verkeerd kry,Afrikaans,0,afr_Latn,afr
55,sy het beamptes beduie na haar swart oldsmobile intrigue wat ongeveerd 500 voet weg was,Afrikaans,0,afr_Latn,afr
56,maak en dra kopieë van jou polis en jou versekeraar se kontakbesonderhede met jou saam,Afrikaans,0,afr_Latn,afr
57,ten tye van die toekenning het atlanta skole 'n groot verbetering in toetspunte ervaar,Afrikaans,0,afr_Latn,afr
58,beraminge strek van 340 miljoen tot 500 miljoen sprekers en soveel as 800 miljoen mense kan die taal verstaan,Afrikaans,0,afr_Latn,afr
59,afdraende ski as 'n sport gaan terug na ten minste die 17de eeu en in 1861 is die eerste ontspanning ski klub oopgemaak deur noorweërs in australië,Afrikaans,0,afr_Latn,afr
60,in vele dele van die wêreld is waai 'n vriendelike gebaar wat hallo beteken,Afrikaans,0,afr_Latn,afr
61,die onega meer is ook verbind aan die volga en om dus van die kaspiese see af deur rusland te kom is steeds moontlik,Afrikaans,0,afr_Latn,afr
62,leonov ook bekend as ruimtevaarder nr 11 was deel van die soviet unie se oorspronklike span ruimtevaarders,Afrikaans,0,afr_Latn,afr
63,die gooi van 'n boemerang is 'n gewilde vaardigheid wat vele toeriste wil aanleer,Afrikaans,0,afr_Latn,afr
64,singapoer is oor die algemeen 'n baie veilige plek om te wees en maklik om te navigeer en jy kan byna enigiets koop na jy aangekom het,Afrikaans,0,afr_Latn,afr
65,as jy die wêreld goedkoop wil sien vir nood leefstyl of uitdaging is daar 'n paar maniere om dit te doen,Afrikaans,0,afr_Latn,afr
66,as 'n perd die ruiter afgooi en sy voet sit vas in die stiebeuel kan hy saam gesleep word as die perd weg hardloop om die risiko ter verminder is daar verskeie veiligheids maatreëls wat getref kan word,Afrikaans,0,afr_Latn,afr
67,voormalige massachusettse burgemeester mitt romney het die florida republikeinse party se presidensiële verkiesing op dinsdag gewen met oor die 46 persent van die stemme,Afrikaans,0,afr_Latn,afr
68,dit is glo die vyfde keer in die geskiedenis dat mense 'n observasie gemaak het wat uitdraai dat dit chemies bevestigde marsagtige materiaal was wat na die aarde geval het,Afrikaans,0,afr_Latn,afr
69,schumacher wat in 2006 afgetree het nada thy die formula 1 kampioenskap sewe keer gewen het was veronderstel om die beseerde felipe massa te vervang,Afrikaans,0,afr_Latn,afr
70,dit maak die goedkoop zoom lense moeilik om te gebruik in lae-beligtingskondisies sonder 'n flash',Afrikaans,0,afr_Latn,afr
71,in teenstelling met aapsoorte gebruik homeniedes nie meer hulle hande vir beweging of gewig dra of deur die bome swaai nie,Afrikaans,0,afr_Latn,afr
72,'n kragonderbrekeing na 'n roetine-brandbeheersisteemtoets het veroorsaak dat die ontlaskleppe oopgaan en ru-olie oorgeloop het naby die fort greenly-pompstasie 9,Afrikaans,0,afr_Latn,afr
73,daar is oneindige variasies moontlik maar dié bly wat die meeste mense bedoel wanneer hulle praat van om disney wêreld heen te gaan,Afrikaans,0,afr_Latn,afr
74,die hele distrik is 'n aangewese unesco wêreld-erfenis gebied vir die kulturele en historiese waarde en die eiendomswaarde is van die hoogstes in die land,Afrikaans,0,afr_Latn,afr
75,dit maak die goedkoop zoom lense moeilik om te gebruik in lae-beligtingskondisies sonder 'n flash',Afrikaans,0,afr_Latn,afr
76,couchsurfing is gestig in januarie 2004 nadat die rekenaarprogrammeerder casey fenton 'n goedkoop vlug na ysland gekry het maar nie 'n plek gehad het om te bly nie,Afrikaans,0,afr_Latn,afr
77,om 'n tent op privaat eiendom of in 'n dorp van enige grootte op te slaan kan maklik ongewenste aandrag trek,Afrikaans,0,afr_Latn,afr
78,"op september 24 1759 het arthur guinness 'n 9,000 jaar huurkontrak vir die st james' gate brouery in dublin ierland geteken",Afrikaans,0,afr_Latn,afr
79,die luno het 120-160 kubieke meter brandstof aan boord gehad toe dit onklaar geraak het en stormwinde en golwe dit in die keerwalle ingestoot het,Afrikaans,0,afr_Latn,afr
80,die il-76 was ‘n groot deel van beide die russiese en sowjet weermag sedert die 1970’s en het reeds ‘n ernstige ongeluk in rusland gesien verlede maand,Afrikaans,0,afr_Latn,afr
81,die polisie het gesê dat lo picollo die opperhand gehad het omdat hy provenzano se regterhand in palermo was en dat hy meer ondervindervinding het wat hom die respek van die ouer generasie van base gewen aangesien hulle provenzano se polis om so laag as moontlik te hou onderwyl hulle hul kragnetwerk versterk het,Afrikaans,0,afr_Latn,afr
82,panama papers is 'n oorkoepelende term vir ongeveer tien miljoen dokument van die panamese regsfirma mossack fonseca wat aan die pers uitgelek het in die lente van 2016,Afrikaans,0,afr_Latn,afr
83,een van die mees algemeenste probleme wanneer 'n fliek na dvd-formaat omgeskakel word is die overscan,Afrikaans,0,afr_Latn,afr
84,i̇zmir is die derde grootste stad in turkye met 'n bevolking van om en by 3.7 miljoen die tweede grootste hawe na istanbul en 'n baie goeie vervoer sentrum,Afrikaans,0,afr_Latn,afr
85,die fliek waarin ryan gosling en emma stone voorkom het 'n nominasie ontvang in al die grootste kategorië,Afrikaans,0,afr_Latn,afr
86,omdat die onderkant van die lem ligweg 'n kurwe het soos die lem van een kant na die ander kantel kry die kant van die ys in kontak met die lem ook kurwes,Afrikaans,0,afr_Latn,afr
87,die gebruik van die internet en die wêreld wye web laat leerders toe om toegang tot inligting ten alle tye te hê,Afrikaans,0,afr_Latn,afr
88,die hangi word gereeld gebruik om 'n tradisionele geroosterde styl ete te kook,Afrikaans,0,afr_Latn,afr
89,kortliks is die gebruik van jou kar die beste manier om 'n padrit te ondergaan maar is selde opsigself 'n manier om te kamp,Afrikaans,0,afr_Latn,afr
90,hy het selfs voorgestel dat sulke vermoëns om menslike gedrag te interpreter gedeel word deur diere soos huishoudelike honde,Afrikaans,0,afr_Latn,afr
91,die navorsers het kristalle opgemerk wat in kat urine gevorm is deur die toevoeging van melamien en sianuriensuur,Afrikaans,0,afr_Latn,afr
92,vroeër die week het 'n polisiehelikopterbotsing drie mense se gedood en drie meer gewond gelaat,Afrikaans,0,afr_Latn,afr
93,hakke moet laag en breed gedra word. sand gruis of sout calcium chloried word gereeld gestrooi oor paaie of paadjies om traksie te verbeter,Afrikaans,0,afr_Latn,afr
94,persoonlike vpn virtuele private netwerk voorsieners ‘n uitstekende manier is om beide politiese sensorskap en kommersiële ip-geofiltrering vry te spring,Afrikaans,0,afr_Latn,afr
95,so ver soos ons weet is daar slegs een planeetliggaam wat meer dinamika as titaan ten toon stel en sy naam is aarde het stofan bygevoeg,Afrikaans,0,afr_Latn,afr
96,'n oordraagbare siekte is een wat deur 'n patogeen soos 'n virus bakterieë fungi of ander parasiete veroorsaak kan word,Afrikaans,0,afr_Latn,afr
97,basies val hulle in twee kategorieë of jy werk terwyl jy reis of jy probeer jou uitgawes laag hou hierdie artikel is gebaseer op die latere,Afrikaans,0,afr_Latn,afr
98,reisagentskappe is al daar sedert die 19e eeu 'n reisagent is gewoonlik 'n goeie opsie vir 'n reis wat buite die reisiger se vorige ervaring van die natuur kultuur taal of lae-inkomste lande strek,Afrikaans,0,afr_Latn,afr
99,internasionaal is daar amper 200 werkende toer organisasies die meeste van hulle funksioneer onafhanklik,Afrikaans,0,afr_Latn,afr
100,die nukleus bestaan uit twee deeltjies neutrone en protone,Afrikaans,0,afr_Latn,afr
101,engeland het 'n lang periode van vrede ervaar na die herowering van die danelaw,Afrikaans,0,afr_Latn,afr
102,infrarooi beelde toon dat die temperatuurvariasies tussen nag en dag daarop dui dat hulle heel waarskynlik grotte is,Afrikaans,0,afr_Latn,afr
103,daar is ook geen vereiste dat jy 'n plaaslike nommer moet kry van die gemeenskap waarin jy leef nie jy kan 'n satelliet internet konneksie kry in wilde chicken alaska en 'n nommer kies wat aandui dat jy in sonnige arizona is,Afrikaans,0,afr_Latn,afr
104,dit beteken dat alles teruggesit moet word het die navorser by die rift vallei navorsingsdiens in ethiopië en mede-outeur van die studie berhane asfaw gesê,Afrikaans,0,afr_Latn,afr
105,om die ou medina is dit maklik om plekke te vind wat tradisionele morrokkaanse goedere soos marokkaanse kookpotte pottebakkery leergoedere hookahs en 'n hele spektrum van oortollighede maar dis als vir die toeriste,Afrikaans,0,afr_Latn,afr
106,meeste mense bespreek hul plekke vooruit as ‘n boot en soos gewoonlik vol tydens die hoogty.,Afrikaans,0,afr_Latn,afr
107,batten is 190ste op die 2008 lys van 400 rykste amerikaners gelys met 'n geskatte fortuin van $2.3 biljoen,Afrikaans,0,afr_Latn,afr
108,reisagente bied gewoonlik pakkette aan wat oggendete transportreëlings na/van die lughawe en selfs gekombineerde vlug en hotelpakkette insluit,Afrikaans,0,afr_Latn,afr
109,kinders ontwikkel 'n bewustheid van ras en ras-stereotipes redelik jonk en hierdie ras-stereotipes affekteer gedrag,Afrikaans,0,afr_Latn,afr
110,atlete mag voel dat hulle 'n produk verkies selfs wanneer dit geen ware voordele bied nie,Afrikaans,0,afr_Latn,afr
111,europese turkye oostelike thracië of rumelië in die balkanse skiereiland sluit 3% van die land in,Afrikaans,0,afr_Latn,afr
112,reisagente het dikwels ooreenkomste met spesifieke hotelle al mag jy dit onmoontlik vind om ander tipes akkommodasie soos kampgronde te bespreek deur 'n reisagent,Afrikaans,0,afr_Latn,afr
113,hulle het gereeld meer outonomie as konvensionele spanlede aangesien hul spanne teen verskillende tydsones byeenkom wat dalk nie deur hul plaaslike bestuur verstaan sal word nie,Afrikaans,0,afr_Latn,afr
114,250 jaar later het guinness gegroei tot ‘n globale besigheid met ‘n jaarlikse opbrengs van meer as 10 biljoen euros u$14.7 biljoen,Afrikaans,0,afr_Latn,afr
115,vir party om te verstaan hoe iets oor 'n vliegtuig werk en wat gedurende 'n vlug gebeur kan dit dalk help om die vrees te oorwin wat gebaseer is op die onbekende of om nie in beheer te wees nie,Afrikaans,0,afr_Latn,afr
116,die storie wat in die franse opera deur camille saint saens aangebied is is van 'n kunstenaar wie se lewe gedikteer word deur 'n liefde vir dwelms en japan,Afrikaans,0,afr_Latn,afr
117,kortliks is die gebruik van jou kar die beste manier om 'n padrit te ondergaan maar is selde opsigself 'n manier om te kamp,Afrikaans,0,afr_Latn,afr
118,hierdie gedrag veroorsaak baiemaal 'n breek tussen leiers en die res van die span,Afrikaans,0,afr_Latn,afr
119,die dokumente het gewys dat veertien banke ryk kliënte gehelp het om biljoene vs dollar van rykdom weg te steek om belasting en ander regulasies te vermy,Afrikaans,0,afr_Latn,afr
120,en dan terug noorde toe deur die weste weer oor die mara rivier na die reën in april,Afrikaans,0,afr_Latn,afr
121,sel kom vanaf die latynse word cella wat klein kamertjie beteken,Afrikaans,0,afr_Latn,afr
122,baie van hul skrywers het voortgegaan om 'n groot invloed op jon stewart en stephen colbert se nuusparodie vertonings te hê,Afrikaans,0,afr_Latn,afr
123,hy het homself in 'n boek van 1998 dokumenteer,Afrikaans,0,afr_Latn,afr
124,baie paleontoloë glo vandag dat een groep dinosaurusse oorleef het en vandag nog leef ons noem hulle voëls,Afrikaans,0,afr_Latn,afr
125,'n aansteeklike siekte is 'n siekte wat maklik oorgedra word deur in die omgewing van 'n besmette persoon te wees,Afrikaans,0,afr_Latn,afr
126,meeste mense bespreek hul plekke vooruit as ‘n boot en soos gewoonlik vol tydens die hoogty.,Afrikaans,0,afr_Latn,afr
127,as hulle hierdie goed met lugvrag' stuur kan die aflaai en doane op sommige roetes dae lank neem,Afrikaans,0,afr_Latn,afr
128,'n populasie is 'n versameling van organismes van 'n spesifieke spesie binne 'n gegewe geografiese area,Afrikaans,0,afr_Latn,afr
129,sedert daar beperkte reaksie op hierdie tactic was het duitsland 'n soortgelyke reaksie om sy onbeperkte duikboot oorlogvoering verwag,Afrikaans,0,afr_Latn,afr
130,twee liedere van die film audition the fools who dream en city of stars het nominasies gekry vir die beste oorspronklike lied. lionsgate ateljee het 26 nominasies ontvang - meer as enige ander ateljee,Afrikaans,0,afr_Latn,afr
131,en dan terug noorde toe deur die weste weer oor die mara rivier na die reën in april,Afrikaans,0,afr_Latn,afr
132,maar as hierdie ooit gebeur moontlik sal dit nie vir 'n baie lang tyd gebeur nie die sterre is so uitgespry dat daar triljoene myle tussen sterre is wat bure is,Afrikaans,0,afr_Latn,afr
133,hulle het hul toer gekanselleer na die hoofsanger steven tyler beseer is na hy van die verhoog af geval het terwyl hy op die 5e augustus besig was om op te tree,Afrikaans,0,afr_Latn,afr
134,vier jaar later is 'n patent toegeken wat die wêreld se eerste patent was wat op die mrb veld toegeken is,Afrikaans,0,afr_Latn,afr
135,generaal james ewing sou 700 manskappe oor die rivier by trenton ferry neem die brug oor die assunpink spruit in besit neem en enige vyandelike troepe se ontsnapping in die wiele ry,Afrikaans,0,afr_Latn,afr
136,troepe wat die voorwaartse posisie versterk sluit die 1ste en 3de new hampshire regiment van 200 mans in onder kollonelle john stark en james reed beide het later generals geword,Afrikaans,0,afr_Latn,afr
